"nom_variable";"annee";"libelle";"type.d.indicateur";"flottille";"metier";"espece";"indicateur";"unite";"remarques"
"v__nbv_f";"2009";"Nombre de navires par flottille";"caractéristiques techniques cumulées";"f__Atalante";"";"";"15";"nombre";"FPC"
"v__nbv_f_m";"2009";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Atalante";"m__Chalut_fond_DP";"";"15";"nombre";"FPC + sacrois"
"v__nbv_f_m";"2009";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Atalante";"m__Chalut_fond_CEP";"";"15";"nombre";"FPC + sacrois"
"v__nbv_f_m";"2009";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Atalante";"m__Chalut_pelagique_DP";"";"15";"nombre";"FPC + sacrois"
"v__nbv_f_m";"2009";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Atalante";"m__Chalut_fond_COR";"";"15";"nombre";"FPC + sacrois"
"v__nbv_f_m";"2009";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Atalante";"m__Autres";"";"15";"nombre";"FPC + sacrois"
"v__kW_f";"2009";"kW total flottille";"caractéristiques techniques cumulées";"f__Atalante";"";"";"441";"nombre";"FPC"
"v__GT_f";"2009";"GT total flottille";"caractéristiques techniques cumulées";"f__Atalante";"";"";"10001";"nombre";"FPC"
"v__cnb_f";"2009";"Effectif moyen par navire d'une flottille";"caractéristiques techniques moyennes";"f__Atalante";"";"";"5.75";"nombre";"FPC + activité"
"v__cnb_f_m";"2009";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_DP";"";"5.75";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"2009";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_CEP";"";"5.75";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"2009";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_pelagique_DP";"";"5.75";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"2009";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_COR";"";"5.75";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"2009";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Autres";"";"5.75";"nombre";"FPC + activité + sacrois"
"v__FTE_f";"2009";"ETP par navire d'une flottille";"caractéristiques techniques moyennes";"f__Atalante";"";"";"6.808";"nombre";"FPC + activité"
"v__FTE_f_m";"2009";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_DP";"";"0.322264753831196";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"2009";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_CEP";"";"0.712317368627335";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"2009";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_pelagique_DP";"";"5.08760257318065";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"2009";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Chalut_fond_COR";"";"0.0663733242830477";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"2009";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Atalante";"m__Autres";"";"0.619441980077773";"nombre";"FPC + activité + sacrois"
"v__nbds_f";"2009";"Nombre moyen de Jours de Mer par navire d'une flottille par an";"activité";"f__Atalante";"";"";"296";"jours";"sacrois"
"v__nbds_f_m";"2009";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Atalante";"m__Chalut_fond_DP";"";"14.0115110361389";"jours";"sacrois"
"v__nbds_f_m";"2009";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Atalante";"m__Chalut_fond_CEP";"";"30.9703203751015";"jours";"sacrois"
