"nom_variable";"annee";"libelle";"type.d.indicateur";"flottille";"metier";"espece";"indicateur";"unite";"remarques"
"v__nbv_f";"1984";"Nombre de navires par flottille";"caractéristiques techniques cumulées";"f__Marion_Dufresne";"";"";"9";"nombre";"FPC"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Marion_Dufresne";"m__Palangre_DAR";"";"9";"nombre";"FPC + sacrois"
"v__kW_f";"1984";"kW total flottille";"caractéristiques techniques cumulées";"f__Marion_Dufresne";"";"";"529";"nombre";"FPC"
"v__GT_f";"1984";"GT total flottille";"caractéristiques techniques cumulées";"f__Marion_Dufresne";"";"";"18097";"nombre";"FPC"
"v__cnb_f";"1984";"Effectif moyen par navire d'une flottille";"caractéristiques techniques moyennes";"f__Marion_Dufresne";"";"";"14.83";"nombre";"FPC + activité"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Marion_Dufresne";"m__Palangre_DAR";"";"14.83";"nombre";"FPC + activité + sacrois"
"v__FTE_f";"1984";"ETP par navire d'une flottille";"caractéristiques techniques moyennes";"f__Marion_Dufresne";"";"";"17.73668";"nombre";"FPC + activité"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Marion_Dufresne";"m__Palangre_DAR";"";"17.73668";"nombre";"FPC + activité + sacrois"
"v__nbds_f";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille par an";"activité";"f__Marion_Dufresne";"";"";"299";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Marion_Dufresne";"m__Palangre_DAR";"";"299";"jours";"sacrois"
"v__nbTrip_f";"1984";"Nombre moyen de Marées par navire d'une flottille par an";"activité";"f__Marion_Dufresne";"";"";"31";"marees";"sacrois"
"v__nbTrip_f_m";"1984";"Nombre moyen de Marées par navire d'une flottille - métier par an";"activité";"f__Marion_Dufresne";"m__Palangre_DAR";"";"31";"marees";"sacrois"
"v__tripLgth_f";"1984";"Durée moyenne d'une marée par navire d'une flottille par an";"activité";"f__Marion_Dufresne";"";"";"220.321935483871";"heures";"sacrois"
"v__tripLgth_f_m";"1984";"Durée moyenne d'une marée par navire d'une flottille - métier par an";"activité";"f__Marion_Dufresne";"m__Palangre_DAR";"";"220.321935483871";"heures";"sacrois"
