"nom_variable";"annee";"libelle";"type.d.indicateur";"flottille";"metier";"espece";"indicateur";"unite";"remarques"
"v__nbv_f";"1984";"Nombre de navires par flottille";"caractéristiques techniques cumulées";"f__Pourquoi_pas";"";"";"18";"nombre";"FPC"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Pourquoi_pas";"m__Palangre_DAR";"";"18";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Pourquoi_pas";"m__Palangre_DP";"";"18";"nombre";"FPC + sacrois"
"v__kW_f";"1984";"kW total flottille";"caractéristiques techniques cumulées";"f__Pourquoi_pas";"";"";"264";"nombre";"FPC"
"v__GT_f";"1984";"GT total flottille";"caractéristiques techniques cumulées";"f__Pourquoi_pas";"";"";"16500";"nombre";"FPC"
"v__cnb_f";"1984";"Effectif moyen par navire d'une flottille";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"";"";"12";"nombre";"FPC + activité"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"m__Palangre_DAR";"";"12";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"m__Palangre_DP";"";"12";"nombre";"FPC + activité + sacrois"
"v__FTE_f";"1984";"ETP par navire d'une flottille";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"";"";"12.144";"nombre";"FPC + activité"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"m__Palangre_DAR";"";"11.76";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Pourquoi_pas";"m__Palangre_DP";"";"0.384";"nombre";"FPC + activité + sacrois"
"v__nbds_f";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille par an";"activité";"f__Pourquoi_pas";"";"";"253";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Pourquoi_pas";"m__Palangre_DAR";"";"245";"jours";"sacrois"
