"nom_variable";"annee";"libelle";"type.d.indicateur";"flottille";"metier";"espece";"indicateur";"unite";"remarques"
"v__nbv_f";"1984";"Nombre de navires par flottille";"caractéristiques techniques cumulées";"f__Thalassa";"";"";"60";"nombre";"FPC"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Thalassa";"m__Filet_COR";"";"60";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Thalassa";"m__Filet_DP";"";"60";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Thalassa";"m__Filet_DAR";"";"60";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Thalassa";"m__Autres";"";"60";"nombre";"FPC + sacrois"
"v__kW_f";"1984";"kW total flottille";"caractéristiques techniques cumulées";"f__Thalassa";"";"";"496";"nombre";"FPC"
"v__GT_f";"1984";"GT total flottille";"caractéristiques techniques cumulées";"f__Thalassa";"";"";"12475";"nombre";"FPC"
"v__cnb_f";"1984";"Effectif moyen par navire d'une flottille";"caractéristiques techniques moyennes";"f__Thalassa";"";"";"6.3";"nombre";"FPC + activité"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Thalassa";"m__Filet_COR";"";"6.3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Thalassa";"m__Filet_DP";"";"6.3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Thalassa";"m__Filet_DAR";"";"6.3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Thalassa";"m__Autres";"";"6.3";"nombre";"FPC + activité + sacrois"
"v__FTE_f";"1984";"ETP par navire d'une flottille";"caractéristiques techniques moyennes";"f__Thalassa";"";"";"5.5692";"nombre";"FPC + activité"
